Animal,Date,Location,Session,Notes,More Notes
Marble29,1/14/19,/Users/nkinsky/Documents/BU/Working/Eraser/Control Group/Marble29/20190114_1,1,Open field Day -2,
Marble29,1/14/19,/Users/nkinsky/Documents/BU/Working/Eraser/Control Group/Marble29/20190114_2,2,Shock Box Day -2,
Marble29,1/15/19,/Users/nkinsky/Documents/BU/Working/Eraser/Control Group/Marble29/20190115_1,1,Open field Day -1,
Marble29,1/15/19,/Users/nkinsky/Documents/BU/Working/Eraser/Control Group/Marble29/20190115_2,2,Shock Box Day -1,
Marble29,1/16/19,/Users/nkinsky/Documents/BU/Working/Eraser/Control Group/Marble29/20190116_1,1,Open field Day 0,
Marble29,1/16/19,/Users/nkinsky/Documents/BU/Working/Eraser/Control Group/Marble29/20190116_2,2,Shock Box Day 0,
Marble29,1/16/19,/Users/nkinsky/Documents/BU/Working/Eraser/Control Group/Marble29/20190116_3,3,Open field  4hr,
Marble29,1/16/19,/Users/nkinsky/Documents/BU/Working/Eraser/Control Group/Marble29/20190116_4,4,Shock Box  4hr,
Marble29,1/17/19,/Users/nkinsky/Documents/BU/Working/Eraser/Control Group/Marble29/20190117_1,1,Open field Day 1,
Marble29,1/17/19,/Users/nkinsky/Documents/BU/Working/Eraser/Control Group/Marble29/20190117_2,2,Shock Box Day 1,
Marble29,1/18/19,/Users/nkinsky/Documents/BU/Working/Eraser/Control Group/Marble29/20190118_1,1,Open field Day 2,
Marble29,1/18/19,/Users/nkinsky/Documents/BU/Working/Eraser/Control Group/Marble29/20190118_2,2,Shock Box Day 2,
Marble29,1/23/19,/Users/nkinsky/Documents/BU/Working/Eraser/Control Group/Marble29/20190123_1,1,Open field Day 7,
Marble29,1/23/19,/Users/nkinsky/Documents/BU/Working/Eraser/Control Group/Marble29/20190123_2,2,Shock Box Day 7,
Marble17,9/17/18,/Users/nkinsky/Documents/BU/Working/Eraser/Anisomycin Group/Marble17/20180917_1_openfield,1,Open field Day -2,
